Sample Rate: 128.0000,Sample Rate: 128.0000,Sample Rate: 128.0000,Sample Rate: 128.0000
Source 1:Out,Source 2:Out,Source 3:Out,Source 4:Out
0.0000099400,0.0000099150,-0.0000099490,0.0000051710
0.0000089940,0.0000048610,-0.00000097500,0.0000018140
0.0000059660,-0.0000044730,0.0000097390,-0.0000094760
0.0000015560,-0.0000098690,0.0000030740,0.0000026050
-0.0000032130,-0.0000065720,-0.0000090760,0.0000093170
-0.0000072390,0.0000025120,-0.0000050310,-0.0000032940
-0.0000095890,0.0000093840,0.0000079910,0.0000071970
-0.0000097180,0.0000079910,0.0000067540,-0.0000031440
-0.0000075970,-0.00000043900,-0.0000065350,0.0000039260
-0.0000037170,-0.0000084830,-0.0000081620,-0.000000061000
0.0000010230,-0.0000090560,0.0000047760,-0.0000013640
0.0000055270,-0.0000016520,0.0000091920,-0.0000070300
0.0000087510,0.0000072060,-0.0000027940,-0.0000030520
0.0000099490,0.0000097180,-0.0000097950,0.0000013640
0.0000088430,0.0000036710,0.00000068300,0.00000079400
0.0000056890,-0.0000056080,0.0000099420,0.00000040300
0.0000012170,-0.0000099490,0.0000014590,0.00000072400
-0.0000035350,-0.0000055270,-0.0000096270,0.0000082810
-0.0000074700,0.0000037620,-0.0000035350,-0.0000094090
-0.0000096750,0.0000097390,0.0000088650,0.0000025350
-0.0000096390,0.0000071380,0.0000054460,0.0000046310
-0.0000073720,-0.0000017490,-0.0000076910,-0.0000018210
-0.0000033980,-0.0000090960,-0.0000071040,-0.0000021620
0.0000013630,-0.0000084320,0.0000061590,0.0000089010
0.0000058080,-0.00000034100,0.0000084320,0.0000074070
0.0000089090,0.0000080490,-0.0000043420,-0.0000091270
0.0000099470,0.0000093510,-0.0000093680,-0.0000017140
0.0000086810,0.0000024170,0.0000023220,0.0000079300
0.0000054050,-0.0000066450,0.0000098690,0.0000096960
0.00000087800,-0.0000098560,-0.00000019500,0.0000012430
-0.0000038520,-0.0000043860,-0.0000099110,0.0000056560
-0.0000076910,0.0000049460,-0.0000019410,-0.00000071500
-0.0000097490,0.0000099230,0.0000094920,0.0000065840
-0.0000095490,0.0000061590,0.0000039870,-0.0000080290
-0.0000071380,-0.0000030280,-0.0000086330,0.0000044860
-0.0000030740,-0.0000095490,-0.0000058480,0.0000062990
0.0000017010,-0.0000076600,0.0000073720,0.000000039000
0.0000060820,0.00000097500,0.0000074370,0.0000053740
0.0000090560,0.0000087510,-0.0000057690,0.0000023560
0.0000099320,0.0000088200,-0.0000086810,0.0000088140
0.0000085090,0.0000011200,0.0000038970,-0.0000085580
0.0000051150,-0.0000075660,0.0000095210,-0.0000032500
0.00000053700,-0.0000095890,-0.0000018450,0.0000025320
-0.0000041650,-0.0000031670,-0.0000099190,-0.0000045850
-0.0000079030,0.0000060440,-0.00000029300,-0.0000059700
-0.0000098110,0.0000099320,0.0000098560,0.0000060090
-0.0000094470,0.0000050730,0.0000024170,-0.0000034910
-0.0000068960,-0.0000042540,-0.0000093350,-0.0000042300
-0.0000027470,-0.0000098350,-0.0000044290,0.0000055320
0.0000020360,-0.0000067540,0.0000083800,-0.0000089880
0.0000063490,0.0000022750,0.0000062360,-0.0000036640
0.0000091920,0.0000093000,-0.0000070350,-0.0000064330
0.0000099060,0.0000081340,-0.0000077530,0.00000070900
0.0000083260,-0.00000019500,0.0000053640,-0.00000079200
0.0000048190,-0.0000083530,0.0000089090,0.0000072630
0.00000019500,-0.0000091540,-0.0000034430,-0.0000013460
-0.0000044730,-0.0000018930,-0.0000096510,0.0000034850
-0.0000081060,0.0000070350,0.0000013630,0.00000097400
-0.0000098620,0.0000097680,0.0000099450,0.00000037800
-0.0000093350,0.0000038970,0.00000078000,-0.00000022800
-0.0000066450,-0.0000054050,-0.0000097770,-0.00000010800
-0.0000024170,-0.0000099480,-0.0000028880,0.0000015520
0.0000023700,-0.0000057290,0.0000091540,0.0000046390
0.0000066090,0.0000035350,0.0000048610,-0.0000031070
0.0000093170,0.0000096860,-0.0000081060,-0.0000097000
0.0000098690,0.0000073060,-0.0000066090,-0.0000062170
0.0000081340,-0.0000015080,0.0000066820,-0.000000084000
0.0000045170,-0.0000089940,0.0000080490,-0.0000062380
-0.00000014600,-0.0000085590,-0.0000049460,0.0000018620
-0.0000047760,-0.00000058500,-0.0000091160,-0.0000095540
-0.0000083000,0.0000079030,0.0000029810,0.0000090250
-0.0000099020,0.0000094320,0.0000097580,-0.0000095680
-0.0000092110,0.0000026530,-0.00000087800,0.0000014460
-0.0000063870,-0.0000064620,-0.0000099480,-0.0000031000
-0.0000020840,-0.0000098860,-0.0000012660,-0.0000092270
0.0000027000,-0.0000046040,0.0000096750,-0.0000043020
0.0000068600,0.0000047330,0.0000033520,0.0000075770
0.0000094320,0.0000099020,-0.0000089520,0.0000036140
0.0000098190,0.0000063490,-0.0000052810,-0.0000083150
0.0000079330,-0.0000027940,0.0000078130,-0.00000026000
0.0000042090,-0.0000094770,0.0000069660,0.0000033690
-0.00000048800,-0.0000078130,-0.0000063120,-0.0000013870
-0.0000050730,0.00000073100,-0.0000083260,-0.00000075000
-0.0000084830,0.0000086330,0.0000045170,0.0000064570
-0.0000099290,0.0000089310,0.0000093000,0.0000086660
-0.0000090760,0.0000013630,-0.0000025120,-0.00000019500
-0.0000061210,-0.0000074050,-0.0000098420,-0.0000058470
-0.0000017490,-0.0000096510,0.00000039000,0.0000061060
0.0000030280,-0.0000033980,0.0000099260,-0.0000070180
0.0000071040,0.0000058480,0.0000017490,0.0000077290
0.0000095350,0.0000099440,-0.0000095490,0.0000025150
0.0000097580,0.0000052810,-0.0000038070,0.0000076410
0.0000077220,-0.0000040320,0.0000087280,0.0000073300
0.0000038970,-0.0000097950,0.0000056890,-0.0000019130
-0.00000082900,-0.0000069310,-0.0000075020,0.0000088340
-0.0000053640,0.0000020360,-0.0000073060,-0.0000085540
-0.0000086570,0.0000092110,0.0000059270,-0.0000023280
-0.0000099450,0.0000082730,0.0000085840,-0.0000061200
-0.0000089310,0.000000048000,-0.0000040760,0.0000082140
-0.0000058480,-0.0000082180,-0.0000094630,0.0000013740
-0.0000014110,-0.0000092470,0.0000020360,-0.0000035570
0.0000033520,-0.0000021320,0.0000099020,-0.0000017490
0.0000073390,0.0000068600,0.000000097000,-0.0000010910
0.0000096270,0.0000098110,-0.0000098810,-0.0000020110
0.0000096860,0.0000041210,-0.0000022270,-0.0000043030
0.0000075020,-0.0000051980,0.0000094000,0.0000069170
0.0000035800,-0.0000099400,0.0000042540,-0.0000052410
-0.0000011690,-0.0000059270,-0.0000084830,-0.0000096000
-0.0000056490,0.0000033060,-0.0000060820,-0.00000065400
-0.0000088200,0.0000096270,0.0000071720,0.00000071000
-0.0000099490,0.0000074700,0.0000076290,-0.0000021730
-0.0000087750,-0.0000012660,-0.0000055270,0.0000088940
-0.0000055680,-0.0000088870,-0.0000088200,-0.0000042100
-0.0000010720,-0.0000086810,0.0000036260,-0.0000021860
0.0000036710,-0.00000082900,0.0000096020,-0.0000090640
0.0000075660,0.0000077530,-0.0000015560,-0.0000020140
0.0000097080,0.0000095070,-0.0000099380,-0.0000097420
0.0000096020,0.0000028880,-0.00000058500,0.0000065000
0.0000072730,-0.0000062740,0.0000098110,0.0000098080
0.0000032590,-0.0000099110,0.0000027000,0.0000079390
-0.0000015080,-0.0000048190,-0.0000092290,-0.0000026500
-0.0000059270,0.0000045170,-0.0000046900,-0.0000022330
-0.0000089730,0.0000098750,0.0000082180,-0.0000036970
-0.0000099420,0.0000065350,0.0000064620,0.0000082190
-0.0000086080,-0.0000025590,-0.0000068250,-0.0000062320
-0.0000052810,-0.0000094000,-0.0000079330,-0.0000026230
-0.00000073100,-0.0000079620,0.0000051150,0.0000098480
0.0000039870,0.00000048800,0.0000090360,-0.00000057700
0.0000077830,0.0000085090,-0.0000031670,-0.0000095460
0.0000097770,0.0000090360,-0.0000097180,-0.0000012070
0.0000095070,0.0000016040,0.0000010720,0.0000010880
0.0000070350,-0.0000072390,0.0000099500,0.0000058130
0.0000029350,-0.0000097080,0.0000010720,0.0000052330
-0.0000018450,-0.0000036260,-0.0000097180,-0.0000044810
-0.0000061980,0.0000056490,-0.0000031670,0.0000034120
-0.0000091160,0.0000099490,0.0000090360,0.0000081660
-0.0000099230,0.0000054870,0.0000051150,-0.0000043520
-0.0000084320,-0.0000038070,-0.0000079330,-0.0000064680
-0.0000049890,-0.0000097490,-0.0000068250,0.0000060960
-0.00000039000,-0.0000071040,0.0000064620,-0.0000040010
0.0000042980,0.0000017970,0.0000082180,-0.0000092100
0.0000079910,0.0000091160,-0.0000046900,0.0000038260
0.0000098350,0.0000084060,-0.0000092290,0.0000065390
0.0000094000,0.00000029300,0.0000027000,-0.000000086000
0.0000067890,-0.0000080780,0.0000098110,0.0000042470
0.0000026060,-0.0000093350,-0.00000058500,-0.0000048540
-0.0000021800,-0.0000023700,-0.0000099380,0.0000027990
-0.0000064620,0.0000066820,-0.0000015560,0.0000045300
-0.0000092470,0.0000098490,0.0000096020,0.0000067380
-0.0000098920,0.0000043420,0.0000036260,0.0000059220
-0.0000082450,-0.0000049890,-0.0000088200,0.0000060350
-0.0000046900,-0.0000099260,-0.0000055270,0.00000073000
-0.000000048000,-0.0000061210,0.0000076290,-0.0000017540
0.0000046040,0.0000030740,0.0000071720,-0.0000024830
0.0000081900,0.0000095630,-0.0000060820,-0.0000067570
0.0000098810,0.0000076290,-0.0000084830,-0.0000019140
0.0000092830,-0.0000010230,0.0000042540,0.00000055600
0.0000065350,-0.0000087750,0.0000094000,0.0000059510
0.0000022750,-0.0000087980,-0.0000022270,-0.00000071400
-0.0000025120,-0.0000010720,-0.0000098810,-0.0000024960
-0.0000067180,0.0000075970,0.000000097000,-0.0000098980
-0.0000093680,0.0000095760,0.0000099020,-0.0000048490
-0.0000098490,0.0000031210,0.0000020360,0.0000099430
-0.0000080490,-0.0000060820,-0.0000094630,0.0000036600
-0.0000043860,-0.0000099290,-0.0000040760,0.0000098910
0.00000029300,-0.0000050310,0.0000085840,0.0000086780
0.0000049040,0.0000042980,0.0000059270,-0.0000057590
0.0000083800,0.0000098420,-0.0000073060,-0.0000023580
0.0000099150,0.0000067180,-0.0000075020,0.0000028510
0.0000091540,-0.0000023220,0.0000056890,0.0000030740
0.0000062740,-0.0000093170,0.0000087280,-0.0000035090
0.0000019410,-0.0000081060,-0.0000038070,0.0000090760
-0.0000028410,0.00000024400,-0.0000095490,0.0000033630
-0.0000069660,0.0000083800,0.0000017490,-0.00000040700
-0.0000094770,0.0000091350,0.0000099260,0.0000094270
-0.0000097950,0.0000018450,0.00000039000,0.0000091760
-0.0000078440,-0.0000070700,-0.0000098420,-0.0000095010
-0.0000040760,-0.0000097580,-0.0000025120,-0.0000028630
0.00000063400,-0.0000038520,0.0000093000,0.0000065450
0.0000051980,0.0000054460,0.0000045170,0.0000027740
0.0000085590,0.0000099480,-0.0000083260,-0.000000037000
0.0000099380,0.0000056890,-0.0000063120,0.0000046020
0.0000090150,-0.0000035800,0.0000069660,-0.0000056590
0.0000060050,-0.0000096970,0.0000078130,0.00000096000
0.0000016040,-0.0000072730,-0.0000052810,-0.0000027780
-0.0000031670,0.0000015560,-0.0000089520,-0.0000063910
-0.0000072060,0.0000090150,0.0000033520,0.0000048410
-0.0000095760,0.0000085340,0.0000096750,-0.0000062810
-0.0000097290,0.00000053700,-0.0000012660,0.0000093530
-0.0000076290,-0.0000079330,-0.0000099480,-0.0000094590
-0.0000037620,-0.0000094160,-0.00000087800,0.0000085500
0.00000097500,-0.0000026060,0.0000097580,0.0000021670
0.0000054870,0.0000064990,0.0000029810,-0.0000018300
0.0000087280,0.0000098810,-0.0000091160,0.0000093830
0.0000099480,0.0000045600,-0.0000049460,0.0000064820
0.0000088650,-0.0000047760,0.0000080490,-0.0000085050
0.0000057290,-0.0000099060,0.0000066820,-0.0000079300
0.0000012660,-0.0000063120,-0.0000066090,0.0000044610
-0.0000034890,0.0000028410,-0.0000081060,0.0000027970
-0.0000074370,0.0000094920,0.0000048610,0.0000027960
-0.0000096630,0.0000077830,0.0000091540,-0.0000010350
-0.0000096510,-0.00000078000,-0.0000028880,0.0000022740
-0.0000074050,-0.0000086570,-0.0000097770,-0.0000026550
-0.0000034430,-0.0000089090,0.00000078000,0.0000063100
0.0000013140,-0.0000013140,0.0000099450,-0.0000011790
0.0000057690,0.0000074370,0.0000013630,-0.0000054620
0.0000088870,0.0000096390,-0.0000096510,-0.0000019050
0.0000099480,0.0000033520,-0.0000034430,-0.0000065370
0.0000087050,-0.0000058870,0.0000089090,-0.0000041020
0.0000054460,-0.0000099420,0.0000053640,-0.0000095810
0.00000092600,-0.0000052400,-0.0000077530,-0.0000062220
-0.0000038070,0.0000040760,-0.0000070350,0.0000091950
-0.0000076600,0.0000098030,0.0000062360,-0.0000086160
-0.0000097390,0.0000068960,0.0000083800,0.0000090690
-0.0000095630,-0.0000020840,-0.0000044290,0.0000061250
-0.0000071720,-0.0000092290,-0.0000093350,0.0000052090
-0.0000031210,-0.0000082450,0.0000024170,-0.0000041650
0.0000016520,0.0,0.0000098560,-0.0000074260
0.0000060440,0.0000082450,-0.00000029300,0.0000028020
0.0000090360,0.0000092290,-0.0000099190,-0.0000083000
0.0000099350,0.0000020840,-0.0000018450,0.0000018100
0.0000085340,-0.0000068960,0.0000095210,-0.0000025250
0.0000051570,-0.0000098030,0.0000038970,0.0000093470
0.00000058500,-0.0000040760,-0.0000086810,-0.0000099030
-0.0000041210,0.0000052400,-0.0000057690,-0.0000036870
-0.0000078740,0.0000099420,0.0000074370,0.0000082200
-0.0000098030,0.0000058870,0.0000073720,0.0000022090
-0.0000094630,-0.0000033520,-0.0000058480,0.0000056970
-0.0000069310,-0.0000096390,-0.0000086330,-0.0000068760
-0.0000027940,-0.0000074370,0.0000039870,0.0000092950
0.0000019890,0.0000013140,0.0000094920,0.00000078700
0.0000063120,0.0000089090,-0.0000019410,0.00000030800
